region_code,full_name,name_depth,code_depth,children_count,has_children
510184,전북>익산시,2,2,51,1
510185,전북>정읍시,2,2,42,1
510186,전북>남원시,2,2,39,1
510187,전북>김제시,2,2,45,1
510188,전북>완주군,2,2,14,1
510189,전북>진안군,2,2,11,1
510190,전북>무주군,2,2,6,1
510191,전북>장수군,2,2,7,1
510192,전북>임실군,2,2,12,1
510193,전북>순창군,2,2,11,1
510194,전북>고창군,2,2,14,1
510195,전북>부안군,2,2,13,1
510197,전남>시지역,2,2,0,0
510198,전남>군지역,2,2,0,0
510199,전남>목포시,2,2,64,1
510200,전남>여수시,2,2,58,1
510201,전남>순천시,2,2,44,1
510202,전남>나주시,2,2,47,1
510203,전남>광양시,2,2,17,1
510204,전남>담양군,2,2,13,1
510205,전남>곡성군,2,2,11,1
510206,전남>구례군,2,2,8,1
510207,전남>고흥군,2,2,16,1
510208,전남>보성군,2,2,12,1
510209,전남>화순군,2,2,15,1
510210,전남>장흥군,2,2,10,1
510211,전남>강진군,2,2,11,1
510212,전남>해남군,2,2,14,1
510213,전남>영암군,2,2,11,1
510214,전남>무안군,2,2,9,1
510215,전남>함평군,2,2,9,1
510216,전남>영광군,2,2,11,1
510217,전남>장성군,2,2,11,1
510218,전남>완도군,2,2,12,1
510219,전남>진도군,2,2,7,1
510220,전남>신안군,2,2,14,1
510222,경북>시지역,2,2,0,0
510223,경북>군지역,2,2,0,0
510224,경북>포항시,2,2,2,1
510225,경북>경주시,2,2,57,1
510226,경북>김천시,2,2,35,1
510227,경북>안동시,2,2,56,1
510228,경북>구미시,2,2,39,1
510229,경북>영주시,2,2,23,1
510230,경북>영천시,2,2,41,1
510231,경북>상주시,2,2,55,1
510232,경북>문경시,2,2,20,1
510233,경북>경산시,2,2,37,1
510235,경북>의성군,2,2,18,1
510236,경북>청송군,2,2,9,1
510237,경북>영양군,2,2,6,1
510238,경북>영덕군,2,2,9,1
510239,경북>청도군,2,2,9,1
510240,경북>고령군,2,2,9,1
510241,경북>성주군,2,2,10,1
510242,경북>칠곡군,2,2,8,1
510243,경북>예천군,2,2,15,1
