region_code,name,lawd_code
520210,덕진구,52113000
520253,남구,47111000
520254,북구,47113000
520281,의창구,48121000
520282,성산구,48123000
520283,마산합포구,48125000
520284,마산회원구,48127000
520285,진해구,48129000
530009,청운동,11110101
530010,신교동,11110102
530011,궁정동,11110103
530012,효자동,11110104
530013,창성동,11110105
530014,통의동,11110106
530015,적선동,11110107
530016,통인동,11110108
530017,누상동,11110109
530018,누하동,11110110
530019,옥인동,11110111
530020,체부동,11110112
530021,필운동,11110113
530022,내자동,11110114
530023,사직동,11110115
530024,도렴동,11110116
530025,당주동,11110117
530026,내수동,11110118
530027,세종로,11110119
530028,신문로1가,11110120
530029,신문로2가,11110121
530030,청진동,11110122
530031,서린동,11110123
530032,수송동,11110124
530033,중학동,11110125
530034,종로1가,11110126
530035,공평동,11110127
530036,관훈동,11110128
530037,견지동,11110129
530038,와룡동,11110130
530039,권농동,11110131
530040,운니동,11110132
530041,익선동,11110133
530042,경운동,11110134
530043,관철동,11110135
530044,인사동,11110136
530045,낙원동,11110137
530046,종로2가,11110138
530047,팔판동,11110139
530048,삼청동,11110140
530049,안국동,11110141
530050,소격동,11110142
530051,화동,11110143
530052,사간동,11110144
530053,송현동,11110145
530054,가회동,11110146
530055,재동,11110147
530056,계동,11110148
530057,원서동,11110149
530058,훈정동,11110150
530059,묘동,11110151
530060,봉익동,11110152
530061,돈의동,11110153
530062,장사동,11110154
530063,관수동,11110155
530064,종로3가,11110156
530065,인의동,11110157
530066,예지동,11110158
530067,원남동,11110159
530068,연지동,11110160
530069,종로4가,11110161
530070,효제동,11110162
530071,종로5가,11110163
530072,종로6가,11110164
530073,이화동,11110165
530074,연건동,11110166
530075,충신동,11110167
530076,동숭동,11110168
530077,혜화동,11110169
530078,명륜1가,11110170
530079,명륜2가,11110171
530080,명륜4가,11110172
530081,명륜3가,11110173
530082,창신동,11110174
530083,숭인동,11110175
530084,교남동,11110176
530085,평동,11110177
530086,송월동,11110178
530087,홍파동,11110179
530088,교북동,11110180
530089,행촌동,11110181
530090,구기동,11110182
530091,평창동,11110183
530092,부암동,11110184
530093,홍지동,11110185
530094,신영동,11110186
530095,무악동,11110187
530097,무교동,11140101
530098,다동,11140102
530099,태평로1가,11140103
530100,을지로1가,11140104
530101,을지로2가,11140105
530102,남대문로1가,11140106
530103,삼각동,11140107
530104,수하동,11140108
530105,장교동,11140109
530106,수표동,11140110
530107,소공동,11140111
530108,남창동,11140112
530109,북창동,11140113
530110,태평로2가,11140114
530111,남대문로2가,11140115
530112,남대문로3가,11140116
530113,남대문로4가,11140117
530114,남대문로5가,11140118
530115,봉래동1가,11140119
530116,봉래동2가,11140120
530117,회현동1가,11140121
530118,회현동2가,11140122
530119,회현동3가,11140123
530120,충무로1가,11140124
530121,충무로2가,11140125
530122,명동1가,11140126
530123,명동2가,11140127
530124,남산동1가,11140128
530125,남산동2가,11140129
530126,남산동3가,11140130
530127,저동1가,11140131
530128,충무로4가,11140132
530129,충무로5가,11140133
530130,인현동2가,11140134
530131,예관동,11140135
530132,묵정동,11140136
530133,필동1가,11140137
530134,필동2가,11140138
530135,필동3가,11140139
530136,남학동,11140140
530137,주자동,11140141
530138,예장동,11140142
530139,장충동1가,11140143
530140,장충동2가,11140144
530141,광희동1가,11140145
530142,광희동2가,11140146
530143,쌍림동,11140147
530144,을지로6가,11140148
530145,을지로7가,11140149
530146,을지로4가,11140150
530147,을지로5가,11140151
530148,주교동,11140152
530149,방산동,11140153
530150,오장동,11140154
530151,을지로3가,11140155
530152,입정동,11140156
530153,산림동,11140157
530154,충무로3가,11140158
530155,초동,11140159
530156,인현동1가,11140160
530157,저동2가,11140161
530158,신당동,11140162
530159,흥인동,11140163
530160,무학동,11140164
530161,황학동,11140165
530162,서소문동,11140166
530163,정동,11140167
530164,순화동,11140168
530165,의주로1가,11140169
530166,충정로1가,11140170
530167,중림동,11140171
530168,의주로2가,11140172
530169,만리동1가,11140173
530170,만리동2가,11140174
530172,후암동,11170101
530173,용산동2가,11170102
530174,용산동4가,11170103
530175,갈월동,11170104
530176,남영동,11170105
530177,용산동1가,11170106
530178,동자동,11170107
530179,서계동,11170108
530180,청파동1가,11170109
530181,청파동2가,11170110
530182,청파동3가,11170111
530183,원효로1가,11170112
530184,원효로2가,11170113
530185,신창동,11170114
530186,산천동,11170115
530187,청암동,11170116
530188,원효로3가,11170117
530189,원효로4가,11170118
530190,효창동,11170119
530191,도원동,11170120
530192,용문동,11170121
530193,문배동,11170122
530194,신계동,11170123
530195,한강로1가,11170124
530196,한강로2가,11170125
530197,용산동3가,11170126
530198,용산동5가,11170127
530199,한강로3가,11170128
530200,이촌동,11170129
530201,이태원동,11170130
530202,한남동,11170131
530203,동빙고동,11170132
530204,서빙고동,11170133
530205,주성동,11170134
530206,용산동6가,11170135
530207,보광동,11170136
530209,상왕십리동,11200101
530210,하왕십리동,11200102
530211,홍익동,11200103
530212,도선동,11200104
530213,마장동,11200105
530214,사근동,11200106
530215,행당동,11200107
530216,응봉동,11200108
530217,금호동1가,11200109
530218,금호동2가,11200110
530219,금호동3가,11200111
530220,금호동4가,11200112
530221,옥수동,11200113
530222,성수동1가,11200114
530223,성수동2가,11200115
530224,송정동,11200118
530225,용답동,11200122
530227,중곡동,11215101
530228,능동,11215102
530229,구의동,11215103
530230,광장동,11215104
530231,자양동,11215105
530232,화양동,11215107
530233,군자동,11215109
530235,신설동,11230101
530236,용두동,11230102
530237,제기동,11230103
530238,전농동,11230104
530239,답십리동,11230105
530240,장안동,11230106
530241,청량리동,11230107
