region_code,name,extra_code,true_level,parent_code,child_count,min_child_level,max_child_level
510125,경기>양평군,41830000,1,500015,12,2,2
510127,강원>시지역,1001030,1,500016,0,0,0
510128,강원>군지역,1001040,1,500016,0,0,0
510129,강원>춘천시,51110000,1,500016,39,2,2
510130,강원>원주시,51130000,1,500016,27,2,2
510131,강원>강릉시,51150000,1,500016,47,2,2
510132,강원>동해시,51170000,1,500016,36,2,2
510133,강원>태백시,51190000,1,500016,17,2,2
510134,강원>속초시,51210000,1,500016,13,2,2
510135,강원>삼척시,51230000,1,500016,35,2,2
510136,강원>홍천군,51720000,1,500016,11,2,2
510137,강원>횡성군,51730000,1,500016,9,2,2
510138,강원>영월군,51750000,1,500016,11,2,2
510139,강원>평창군,51760000,1,500016,8,2,2
510140,강원>정선군,51770000,1,500016,9,2,2
510141,강원>철원군,51780000,1,500016,11,2,2
510142,강원>화천군,51790000,1,500016,5,2,2
510143,강원>양구군,51800000,1,500016,5,2,2
510144,강원>인제군,51810000,1,500016,6,2,2
510145,강원>고성군,51820000,1,500016,6,2,2
510146,강원>양양군,51830000,1,500016,6,2,2
510148,충북>시지역,1001050,1,500017,0,0,0
510149,충북>군지역,1001060,1,500017,0,0,0
510150,충북>청주시,43110000,1,500017,4,2,2
510151,충북>충주시,43130000,1,500017,39,2,2
510152,충북>제천시,43150000,1,500017,36,2,2
510153,충북>보은군,43720000,1,500017,11,2,2
510154,충북>옥천군,43730000,1,500017,9,2,2
510155,충북>영동군,43740000,1,500017,11,2,2
510156,충북>증평군,43745000,1,500017,2,2,2
510157,충북>진천군,43750000,1,500017,8,2,2
510158,충북>괴산군,43760000,1,500017,11,2,2
510159,충북>음성군,43770000,1,500017,9,2,2
510160,충북>단양군,43800000,1,500017,8,2,2
510162,충남>시지역,1001070,1,500018,0,0,0
510163,충남>군지역,1001080,1,500018,0,0,0
510164,충남>천안시,44130000,1,500018,2,2,2
510165,충남>공주시,44150000,1,500018,37,2,2
510166,충남>보령시,44180000,1,500018,21,2,2
510167,충남>아산시,44200000,1,500018,30,2,2
510168,충남>서산시,44210000,1,500018,24,2,2
510169,충남>논산시,44230000,1,500018,24,2,2
510170,충남>계룡시,44250000,1,500018,4,2,2
510171,충남>당진시,44270000,1,500018,22,2,2
510172,충남>금산군,44710000,1,500018,10,2,2
510173,충남>부여군,44760000,1,500018,16,2,2
510174,충남>서천군,44770000,1,500018,13,2,2
510175,충남>청양군,44790000,1,500018,10,2,2
510176,충남>홍성군,44800000,1,500018,12,2,2
510177,충남>예산군,44810000,1,500018,12,2,2
510178,충남>태안군,44825000,1,500018,8,2,2
510180,전북>시지역,1001090,1,500019,0,0,0
510181,전북>군지역,1001100,1,500019,0,0,0
510182,전북>전주시,52110000,1,500019,2,2,2
510183,전북>군산시,52130000,1,500019,63,2,2
510184,전북>익산시,52140000,1,500019,51,2,2
510185,전북>정읍시,52180000,1,500019,42,2,2
510186,전북>남원시,52190000,1,500019,39,2,2
510187,전북>김제시,52210000,1,500019,45,2,2
510188,전북>완주군,52710000,1,500019,14,2,2
510189,전북>진안군,52720000,1,500019,11,2,2
510190,전북>무주군,52730000,1,500019,6,2,2
